cook-time,cuisine,diet,difficulty,directions,dish-name,ingredients,link,description,picture,prep-time,rating
none,caribbean,['Gluten-free'], Easy ,"Pour the juices, rum, sugar syrup, grenadine and Angostura bitters into a large jug and give it a good stir. Pop into the fridge to chill for 1 hr.
Serve over ice cubes, sprinkle over the nutmeg and garnish with an orange slice and maraschino cherry, speared with a cocktail stick.",Rum punch,"['175ml freshly squeezed orange juice', '75ml freshly squeezed lime juice', '150ml good-quality golden rum', '50ml sugar syrup', 'dash of grenadine syrup', 'dash of Angostura bitters', 'ice cubes, to serve', 'generous pinch of freshly grated nutmeg', '2 thick slices orange, to garnish', 'maraschino cherries, to garnish']",https://www.bbcgoodfood.com/recipes/rum-punch,Shivi Ramoutar's recipe for this classic Caribbean cocktail combines sweet and sour flavours for a fruity weekend tipple,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/rum-punch.jpg?itok=tVK2QNW0,5 mins,0
50 mins,caribbean,['Freezable'], Easy ,"Heat the oil in a pan, add the onion and cook for 5 mins. Add the garlic and beef, turn up the heat and cook until the meat is browned. Add the potato, half the turmeric, the purée and thyme, plus 200ml water. Cover and simmer for 15 mins, then remove the lid and cook for 5 mins more. Add the hot pepper sauce and leave to cool.
Heat oven to 220C/200C fan/gas 7. Roll out the pastry to the thickness of a £1 coin. Cut out 6 x 15cm circles, using a small plate as a guide. Divide the mince between the circles, piling it up on one side. Mix the egg with the remaining turmeric, brush around the edge of each circle, then fold over and use a fork to seal the edges. Arrange on a baking tray lined with baking parchment, brush with a little more egg and bake for 20-25 mins. Serve with a green salad.",Caribbean beef patties,"['drizzle of oil', '1 small onion, finely chopped', '2 garlic cloves, crushed', '250g beef mince', '1 potato, cut into 1cm/½ in cubes', '2 tsp turmeric', '2 tbsp tomato purée', 'few thyme sprigs', '2 tbsp hot pepper sauce', '500g block shortcrust pastry', '1 egg, beaten', 'green salad, to serve']",https://www.bbcgoodfood.com/recipes/caribbean-beef-patties,"Spice up beef mince with turmeric, thyme and hot pepper sauce before folding in shortcrust pastry for a tasty dinner or lunch",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/caribbean-beef-patties.jpg?itok=DxtJ6GH_,10 mins,4
10 mins,caribbean,no info, Easy ,"Heat the grill to medium-high. Mix the jerk paste and 1 tbsp honey together in a bowl. Place the salmon fillets on a foil-lined baking tray and brush all over with the sauce. Cook on the top shelf for 8-10 mins or until just cooked through (move the tray down a shelf if the salmon starts getting too caramelised).
Meanwhile, put the remaining honey, lime juice and some seasoning in a large bowl and mix together. Add the red cabbage, mango, pepper, spring onions and coriander, and toss through the dressing. Serve the salmon on a pile of the slaw.",Sticky jerk salmon with mango slaw,"['2 heaped tbsp Jamaican jerk paste', '2 tbsp clear honey', '4 salmon fillets', 'juice 2 limes', '½ red cabbage, core removed, thinly sliced', '1 firm but ripe mango, skin removed, thinly sliced', '1 red pepper, thinly sliced', '6 spring onions, thinly sliced on an angle', 'small bunch coriander, leaves picked']",https://www.bbcgoodfood.com/recipes/sticky-jerk-salmon-mango-slaw,"Serve chunky salmon fillets with a spicy Caribbean honey glaze on a homemade coleslaw with cabbage, red pepper, mango and coriander",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/salmon_8.jpg?itok=loa6OPpA,25 mins,4
45 mins,caribbean,no info, Easy ,"To make the jerk marinade, combine 1 big bunch roughly chopped spring onions, a roughly chopped thumb-sized piece ginger, 3 garlic cloves, ½ small onion, 3 scotch bonnet chillies, deseeded if you like, ½ tsp dried thyme or 1 tbsp thyme leaves, juice of 1 lime, 2 tbsp soy sauce, 2 tbsp vegetable oil, 3 tbsp brown sugar, 1 tbsp ground allspice in a food processor along with 1 tsp salt, and blend to a purée.
If you’re having trouble getting it to blend, just keep turning off the blender, stirring the mixture, and trying again. Eventually it will start to blend up – don’t be tempted to add water, as you want a thick paste.
Taste the jerk mixture for seasoning – it should taste pretty salty, but not unpleasantly, puckering salty. You can now throw in more chillies if it’s not spicy enough for you.
If it tastes too salty and sour, try adding in a bit more brown sugar until the mixture tastes well balanced.
Make a few slashes in 12 chicken thighs and pour the marinade over the meat, rubbing it into all the crevices. Cover and leave to marinate overnight in the fridge.
If you want to barbecue your chicken, get the coals burning 1 hr or so before you’re ready to cook. Authentic jerked meats are not exactly grilled as we think of grilling, but sort of smoke-grilled.
To get a more authentic jerk experience, add some wood chips to your barbecue, and cook your chicken over slow, indirect heat for 30 mins. 
To cook in the oven, heat to 180C/160C fan/gas 4. Put the chicken pieces in a roasting tin with 1 halved lime and cook for 45 mins until tender and cooked through.
While the chicken is cooking, prepare the rice & peas. Rinse 200g basmati rice in plenty of cold water, then tip it into a large saucepan.
Add 400g can coconut milk, 1 bunch sliced spring onions, 2 large thyme sprigs, 2 finely chopped garlic cloves and 1 tsp ground allspice.
Season with salt, add 300ml cold water and set over a high heat. Once the rice begins to boil, turn it down to a medium heat, cover and cook for 10 mins.
Add two 410g cans drained kidney beans to the rice, then cover with a lid. Leave off the heat for 5 mins until all the liquid is absorbed.
Squeeze the roasted lime over the chicken and serve with the rice & peas, and some hot sauce if you like it really spicy.",Jerk chicken with rice & peas,"['12 chicken thighs, bone in', '1 lime, halved', 'hot sauce, to serve (optional)', '1 big bunch spring onions, roughly chopped', 'thumb-sized piece ginger, roughly chopped', '3 garlic cloves', '½ a small onion', '3 scotch bonnet chillies, deseeded if you want less heat', '½ tsp dried thyme, or 1 tbsp thyme leaves', 'juice 1 lime', '2 tbsp soy sauce', '2 tbsp vegetable oil', '3 tbsp brown sugar', '1 tbsp ground allspice', '200g basmati rice', '400g can coconut milk', '1 bunch spring onions, sliced', '2 large thyme sprigs', '2 garlic cloves, finely chopped', '1 tsp ground allspice', '2 x 410g cans kidney beans, drained']",https://www.bbcgoodfood.com/recipes/2369635/jerk-chicken-with-rice-and-peas,"The Jamaican marinade has many versions, but John Torode likes his super spicy with a dash of soy and served with coconut basmati",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1047528_11.jpg?itok=NzQpEx87,25 mins,5
45 mins,caribbean,"['Vegetarian', 'Vegan', 'Healthy']", Easy ,"Gently soften the diced onion in the sunflower oil in a big pan or casserole.
Meanwhile, whizz together the roughly chopped onion, ginger, coriander stalks and jerk seasoning with a hand-held blender. Add to the softened onion and fry until fragrant. Stir in the thyme, chopped tomatoes, vinegar, sugar and stock cubes with 600ml water and bring to a simmer. Simmer for 10 mins, then drop in the sweet potatoes and simmer for 10 mins more. Stir in the beans, peppers and some seasoning, and simmer for another 5 mins until the potatoes are almost tender. Cool and chill for up to 2 days.
To serve, gently heat through on the hob. Roughly chop most of the coriander leaves and stir in, then serve scattered with the remaining leaves.",Jerk sweet potato & black bean curry,"['2 onions, 1 diced, 1 roughly chopped', '2 tbsp sunflower oil', '50g ginger, roughly chopped', 'small bunch coriander, leaves and stalks separated', '3 tbsp jerk seasoning', '2 thyme sprigs', '400g can chopped tomato', '4 tbsp red wine vinegar', '3 tbsp demerara sugar', '2 vegetable stock cubes, crumbled', '1kg sweet potato, peeled and cut into chunks', '2 x 400g cans black beans, rinsed and drained', '450g jar roasted red pepper, cut into thick slices']",https://www.bbcgoodfood.com/recipes/2835667/jerk-sweet-potato-and-black-bean-curry,"Serve your vegetable curry Caribbean style, flavoured with thyme, jerk seasoning and red peppers - great with rice and peas",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1173503_12.jpg?itok=pCqQOv4R,50 mins,4
3 hrs,caribbean,['Freezable'], More effort ,"Place the onion, garlic and ginger in a food processor and blend to a purée. Heat the oil in a large flameproof casserole dish, add the onion mixture and cook for 5 mins until softened. Add the chillies, curry leaves, thyme, curry powder and 2 tsp salt. Cook for 2-3 mins until fragrant.
Tip the mutton or goat into the pan. Cook for 5 mins over a medium-high heat until the meat has browned. Add the chopped tomatoes and stock. Increase the heat, bring to the boil and cook for 10 mins. Reduce heat, cover and leave to simmer gently for 2½ hrs – remove the lid for the final 30 mins of cooking.
Add the beans to heat through, plus more chilli if you want it spicier. After 5 mins more, remove from the heat. Add the lemon juice and coriander, and stir well. Serve with warmed roti and rice.",Goat curry,"['1 large onion, roughly chopped', '10 garlic cloves', '100g ginger, chopped', '100ml vegetable oil', '2 scotch bonnet chillies, chopped', 'small handful curry leaves', '3 thyme sprigs', '4 tbsp mild curry powder', '700g mutton or goat shoulder, diced', '400g can chopped tomato', '300ml lamb or beef stock', '410g can pinto, kidney or black-eyed beans', 'juice ½ lemon', 'small bunch coriander, chopped', 'warmed roti (Jamaican flatbread ) and rice, to serve']",https://www.bbcgoodfood.com/recipes/2369636/goat-curry,Cheap cuts like goat and mutton require slow-cooking in strong spices to tenderise - this Jamaican classic is a taste sensation,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1047532_11.jpg?itok=ZMVx05jn,25 mins,5
40 mins,caribbean,no info, Easy ,"Heat oven to 190C/170C fan/gas 5. Scrub the potatoes and cut into chips. Lay the chips in a single layer on a baking tray, drizzle with oil, season and toss to coat. Bake for 40 mins until crisp.
Mix together the grated onion, carrot, mince and jerk seasoning in a large bowl, then shape into 4 evenly sized patties.
Heat a non-stick frying pan till hot, then cook the burgers for 5-6 mins each side.
To make the relish, mix the chopped onion, pineapple, chilli, coriander and lime juice. To serve, place the burgers in split buns with some lettuce and the spicy relish. Serve with the crispy chips.",Jerk beefburger with pineapple relish & chips,"['4 very large potatoes', '1 tbsp vegetable oil', '1 red onion, ½ grated and ½ finely chopped', '1 carrot, grated', '400g/ 14oz beef mince', '2 tsp jerk seasoning (we used Bart)', '200g/7oz fresh pineapple (we used pre-cut packet), finely chopped', '1 red chilli, deseeded and finely chopped', 'small handful coriander, roughly chopped', 'juice 1 lime', 'lettuce and burger buns, to serve']",https://www.bbcgoodfood.com/recipes/1959654/jerk-beefburger-with-pineapple-relish-and-chips,Flavour your mince with Jamaican spices and serve up with a contrasting tropical chutney and fries,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--901699_10.jpg?itok=K8TODKw8,15 mins,5
10 mins,caribbean,no info, Easy ,"Mix the lime juice and half the lime zest with 1 tbsp honey, a pinch of cinnamon and nutmeg. Set this sauce aside. Stir the icing sugar and a pinch of cinnamon into the fromage frais.
Heat the butter and remaining honey in a non-stick frying pan until melted. Add the pineapple and cook over a high heat for 8 mins, turning regularly until caramelised. Pour in the spiced lime sauce and bubble for a few secs, tossing the pineapple to glaze in the sauce.
Serve immediately, sprinkled with the remaining lime zest and accompanied by a dollop of the cinnamon fromage frais",Spiced glazed pineapple with cinnamon fromage frais,"['zest and juice 1 lime', '2 tbsp clear honey', '2 pinches ground cinnamon', 'few gratings whole nutmeg', '2 tsp icing sugar, sifted', '200g very low-fat fromage frais', '2 tsp butter', '1 fresh pineapple, cut into 8 long wedges, skin and core removed']",https://www.bbcgoodfood.com/recipes/235607/spiced-glazed-pineapple-with-cinnamon-fromage-frai,Try this tropical treat when you want to end a meal on a sweet note without too much effort or too many calories,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--229598_12.jpg?itok=q2R-Bzfs,10 mins,5
none,caribbean,"['Gluten-free', 'Vegetarian', 'Vegan']", Easy ,"Scoop the pulp of the passion fruits into a blender and add the banana, mango and orange juice. Purée until smooth and drink immediately, topped with ice cubes.",Tropical breakfast smoothie,"['3 passion fruits', '1 banana, chopped', '1 small mango, peeled, stoned and chopped', '300ml orange juice', 'ice cubes']",https://www.bbcgoodfood.com/recipes/2810/tropical-breakfast-smoothie,"Start your day with this fruity blend of passion fruits, mango, orange and banana. It's a good source of vitamin C and provides 1 of your 5-a-day, too",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--484466_11.jpg?itok=dadLDseN,5 mins,4
20 mins,caribbean,['Healthy'], Easy ,"Mix together the jerk seasoning, olive oil and lime juice. Toss the chicken in it and leave to marinate in the fridge for at least 20 mins, or up to 24 hours.
Make the salsa by mixing all the ingredients together with some seasoning – add a chopped red chilli if you like extra heat.
Heat the grill or barbecue to Medium. Thread the chicken onto 8 metal skewers divided by the yellow peppers – aim for 3 of each per skewer. Cook for 8 mins each side until cooked through and lightly charred. Serve with the salsa and rocket leaves.",Jerk chicken kebabs with mango salsa,"['2 tsp jerk seasoning (we used Bart)', '1 tbsp olive oil', 'juice 1 lime', '4 skinless chicken breasts, chopped into chunks', '1 large yellow pepper, cut into 2cm cubes', '100g bag rocket leaves, to serve', '320g pack mango chunks, diced', '1 large red pepper, deseeded and diced', 'bunch spring onions, finely chopped', '1 red chilli, chopped (optional)']",https://www.bbcgoodfood.com/recipes/1413635/jerk-chicken-kebabs-with-mango-salsa,A simple colourful way with chicken that is packed with goodness,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--684518_11.jpg?itok=_My3HPKr,20 mins,4
