cook-time,diet,difficulty,directions,dish-name,ingredients,link,description,picture,prep-time,rating
15 mins,"['Gluten-free', 'Vegetarian']", More effort ,"To make the potato cakes, squeeze the excess moisture from the sweet potato, then combine with flour, parsley, egg white, harissa and some salt in a bowl until the mixture sticks together. Shape into 8 potato cakes. Heat a little oil in a frying pan. In two batches, fry the potato cakes for 2-3 mins each side or until golden brown and crisp. Keep warm while you repeat with the remaining cakes.
Poach the eggs in a saucepan of simmering water for 2-3 mins – the yolks should be runny. Remove with a slotted spoon and drain carefully on kitchen paper.
Spread some harissa in the middle of four serving plates and top with a dollop of yogurt. Add one potato cake to each plate then sandwich another potato cake on top with more yogurt. Top each stack with the remaining yogurt and an egg. Season and drizzle with more harissa and scatter over the micro herbs.",Sweet potato cakes with poached eggs,"['4 eggs', '50g harissa', '200g Greek yogurt', 'handful micro herbs', '500g sweet potato, peeled and grated', '200g gluten-free flour', '1 small pack parsley, chopped', '4 egg whites', '50g harissa', 'olive oil, for frying']",https://www.bbcgoodfood.com/recipes/sweet-potato-harissa-cakes-poached-eggs,"Try these gluten-free sweet potato cakes with poached eggs for a weekend brunch, or as a quick dinner. They're spiced with harissa to wake up your tastebuds",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/09/sweet-potato-harissa-cakes-with-poached-eggs.jpg?itok=qUDksbf7,15 mins,5
25 mins,['Vegetarian'], Easy ,"Cook the rice according to pack instructions. Pour the soy sauce, mirin, ginger and honey into a small saucepan and add 50ml water. Bring to a simmer and cook for around 5 mins or until slightly thickened. Remove from the heat and set aside until needed.
If your tofu doesn’t feel very firm, you’ll need to press it. To do this, wrap the block of tofu in a few layers of kitchen paper, then weigh it down with a heavy pan or tray for 10-15 mins – the longer you press it, the firmer it will be. Cut the tofu into thick slices.
Heat a griddle pan over high heat and lightly brush the tofu and spring onions with the oil. Griddle the tofu and spring onion until deep char lines appear on both sides (around 4 mins each side) – you may have to do this in batches depending on the size of your griddle pan.
Divide the cooked rice between two plates, top with the tofu and spring onion, then drizzle with the teriyaki sauce. Garnish with the sesame seeds and sliced red chilli, if using.",Charred spring onions & teriyaki tofu,"['150g wholegrain rice', '50ml soy sauce', '2 tbsp mirin', '½ tsp grated ginger', '1 tsp honey', '350g firm tofu (we used Cauldron)', '1 bunch spring onions, ends trimmed', '2 tsp sunflower oil', '½ tsp sesame seeds', '1 red chilli, sliced (optional)']",https://www.bbcgoodfood.com/recipes/charred-spring-onions-teriyaki-tofu,"Rustle up this teriyaki tofu served with wholegrain rice in just 30 minutes. Easy and low in fat, this vegetarian dish is perfect for busy weeknights",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/10/charred-spring-onions-teriyaki-tofu.jpg?itok=DQxvBSk7,5 mins,4
1 hr,"['Healthy', 'Vegetarian', 'Vegan']", Easy ,"Heat oven to 200C/180C fan/gas 6. Put the squash and garlic on a baking tray and drizzle with the olive oil. Roast for 35-40 mins until soft. Season.
Cook the pasta according to pack instructions. Drain, reserving the water. Use a stick blender to whizz the squash with 400ml cooking water. Heat some oil in a frying pan, fry the sage until crisp, then drain on kitchen paper. Tip the pasta and sauce into the pan and warm through. Scatter with sage.",Creamy squash linguine,"['350g chopped butternut squash', '3 peeled garlic cloves', '3 tbsp olive oil', '350g linguine', 'small bunch sage']",https://www.bbcgoodfood.com/recipes/creamy-squash-linguine,"Rustle up this healthy pasta dish using just four ingredients: butternut squash, garlic cloves, sage and linguine. It's low-calorie and vegan too",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/10/creamy_squash_linguine.jpg?itok=FlkVjdXw,5 mins,3
2 hrs,"['Healthy', 'Vegetarian']", Easy ,"Heat 1 tbsp rapeseed oil in a large non-stick pan and fry 2 sliced onions and 2 chopped large garlic cloves for 5 mins, stirring frequently until softened.
Tip in 2 diced large courgettes, 1 red and 1 yellow pepper, both roughly sliced, and 400g chopped tomatoes with 2 tbsp tomato purée, 2 tsp vegetable bouillon and 15g chopped basil.
Stir well, cover and cook for 5 mins. Don't be tempted to add more liquid as plenty of moisture will come from the vegetables once they start cooking.
Slice 1 large aubergine. Lay half the slices of aubergine in the base of the slow cooker and top with 3 sheets of lasagne.
Add a third of the ratatouille mixture, then the remaining aubergine slices, 3 more lasagne sheets, then the remaining ratatouille mixture.
Cover and cook on High for 2½ - 3 hours until the pasta and vegetables are tender. Turn off the machine.
Scatter 125g vegetarian buffalo mozzarella over the vegetables then cover and leave for 10 mins to settle and melt the cheese. 
Scatter with extra basil and serve with a handful of rocket.",Slow cooker vegetable lasagne,"['1 tbsp rapeseed oil', '2 onions, sliced', '2 large garlic cloves, chopped', '2 large courgettes, diced (400g)', '1 red and 1 yellow pepper, deseeded and roughly sliced', '400g can chopped tomatoes', '2 tbsp tomato purée', '2 tsp vegetable bouillon', '15g fresh basil, chopped plus a few leaves', '1 large aubergine, sliced across length or width for maximum surface area', '6 wholewheat lasagne sheets (105g)', '125g vegetarian buffalo mozzarella, chopped']",https://www.bbcgoodfood.com/recipes/slow-cooker-vegetable-lasagne,"Make this low-calorie veggie lasagne as a lighter alternative to the traditional bake. It's layered with pasta, ratatouille and sliced aubergine and packs in all of your five-a-day",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/09/vegelasagne.jpg?itok=kPMVXdw2,30 mins,4
1 hr,"['Healthy', 'Vegetarian']", Easy ,"Heat the slow cooker if necessary. Fry the onion in the oil in a frying pan with a splash of water for 10 minutes or until it is soft but not coloured. Add the mushroom slices and stir them around until they start to soften and release their juices.
Meanwhile pour the stock into a saucepan and add the porcini, bring to a simmer and then leave to soak. Tip the onions and mushrooms into the slow cooker and add the rice, stir it in well. Pour over the stock and porcini leaving any bits of sediment in the saucepan (or pour the mixture through a fine sieve).
Cook on High for 1 hour and then check the consistency – the rice should be cooked. If it needs a little more liquid stir in a splash of stock. Stir in the parsley and season. Serve with the parmesan.",Slow cooker mushroom risotto,"['1 onion, finely chopped', '1 tsp olive oil', '250g chestnut mushrooms, sliced', '1l vegetable stock', '50g porcini', '300g wholegrain rice', 'small bunch parsley, finely chopped', 'grated vegetarian parmesan-style cheese to serve']",https://www.bbcgoodfood.com/recipes/slow-cooker-mushroom-risotto,"No need for constant stirring with our low-fat, low-calorie mushroom risotto made in a slow cooker. Sprinkle with parmesan for a comforting veggie meal",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/09/mushroomrisotto.jpg?itok=g51Q1HOj,30 mins,3
2 hrs,"['Freezable', 'Vegetarian']", Easy ,"If you have a gas hob, put the aubergine directly onto a lit ring to char completely, turning occasionally with kitchen tongs, until burnt all over. Alternatively, use a barbecue or heat the grill to its highest setting and cook, turning occasionally, until completely blackened (the grill won’t give you the same smoky flavour). Set aside to cool on a plate, then peel off the charred skin and remove the stem. Roughly chop the flesh and set aside.
In a large pan, heat the oil, add the onion and carrots with a pinch of salt, and fry over a low-medium heat for 15-20 mins until the carrots have softened.
Add the aubergine, both types of lentils, the kidney beans with the liquid from the can, soy sauce, tomatoes, chocolate, chilli powder, oregano and the spices. Stir to combine, then pour in the stock. Bring to the boil, then turn down the heat to very low. Cover with a lid and cook for 11/2 hrs, checking and stirring every 15-20 mins to prevent it from burning.
Remove the lid and let the mixture simmer over a low-medium heat, stirring occasionally, for about 15 mins until you get a thick sauce. Stir in the lime juice and taste for seasoning – add more salt if needed. Serve hot over rice with whichever accompaniments you want!",Burnt aubergine veggie chilli,"['1 aubergine', '1 tbsp olive oil or rapeseed oil', '1 red onion, diced', '2 carrots, finely diced', '70g Puy lentils or green lentils, rinsed', '30g red lentils, rinsed', '400g can kidney beans', '3 tbsp dark soy sauce', '400g can chopped tomatoes', '20g dark chocolate, finely chopped', '¼ tsp chilli powder', '2 tsp dried oregano', '2 tsp ground cumin', '2 tsp sweet smoked paprika', '1 tsp coriander', '1 tsp cinnamon', '800ml vegetable stock', '½ lime, juiced', 'brown rice', 'tortilla chips, mashed avocado, yogurt or soured cream, grated cheddar, roughly chopped coriander (optional)']",https://www.bbcgoodfood.com/recipes/burnt-aubergine-veggie-chilli,This warming aubergine chilli is low fat and 4 of your 5 a day. Serve up this smoky spiced supper with brown rice and all your favourite trimmings,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/12/burnt-aubergine-chilli.jpg?itok=lLU2Cp5x,25 mins,5
45 mins,"['Healthy', 'Gluten-free', 'Vegetarian']", Easy ,"Prick the aubergines all over with a fork, then place directly over a gas flame (or BBQ), and char, turning, for about 5 mins or until they feel like they are collapsing inside. Remove and leave to cool.
Once the aubergine has cooled, split them in half and carefully scoop out the juicy, soft flesh into a bowl. Peel it away from the burned skin, being careful to capture any of the juices that escape onto the board. Roughly chop the flesh and set aside.
Heat the olive oil in a pan over a medium to high heat, add the onion, bay leaf and a pinch of salt and cook, stirring, for about 10 mins, until the onion is softening and just starting to colour. Add the garlic and chilli and cook for a couple of mins more. Mix in the tomatoes and red wine vinegar, and cook, stirring, for about 10 mins until they are collapsing. Add the aubergine, and mix well with the other ingredients, cooking for a few more mins, then add the lentils and 100ml water. Continue to cook until most of the water has reduced. Season. Serve the warm ragu on top of a generous serving of swede purée. Garnish with the walnuts and parsley.","Aubergine, lentil & walnut ragu","['2 aubergines', '2 tbsp olive oil', '1 onion, finely chopped', '1 bay leaf', '2 finely chopped cloves garlic', '1 red or green chilli', '2 large tomatoes, chopped', '1 tsp red wine vinegar', '100g Puy lentils, cooked', '30g walnuts, chopped', 'small bunch of parsley, finely chopped']",https://www.bbcgoodfood.com/recipes/aubergine-lentil-walnut-ragu,"Serve this rich and hearty veggie ragu with pasta or on mounds of buttery swede purée. It's full of flavour, with aubergine, lentil, tomatoes and walnuts",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/09/aubergine-lentil-walnut-ragu.jpg?itok=3164uxsK,25 mins,4
5 mins,['Vegetarian'], Easy ,"Mix together the crème fraîche, mustard and lemon juice. Set aside. Bring a large pan of salted water to the boil. Once boiling, add the broccoli and cook for 3 mins, then tip in the gnocchi. Cook until the gnocchi begins to float to the surface, this will only take 1 min so keep an eye on them, then drain.
Heat the oil in a large non-stick frying pan and, once hot, tip in the gnocchi, broccoli and frozen peas. Toss around in the hot oil for 1 min, then stir through the crème fraîche mixture. Season to taste. Once hot, spoon into bowls and top with the lemon zest and pine nuts.",Creamy broccoli gnocchi,"['3 tbsp crème fraîche', '½ tbsp Dijon mustard', '½ lemon, zested and juiced', '200g Tenderstem broccoli, each cut into 3 pieces', '350g fresh gnocchi', '2 tbsp olive oil', '100g frozen peas', '1 tbsp toasted pine nuts']",https://www.bbcgoodfood.com/recipes/creamy-broccoli-gnocchi,"Whip up this tasty vegetarian gnocchi in just 15 minutes. Broccoli, peas and pine nuts combine with crème fraîche and mustard for a tasty midweek meal",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/09/creamy-broccoli-gnocchi.jpg?itok=XL9SoYtZ,10 mins,4
45 mins,no info, More effort ,"Heat oven to 200C/180C fan/gas 6. In a roasting tin, toss the squash with 1 tbsp olive oil, salt, pepper and the thyme leaves. Cover the tin with foil and roast for 30 mins until the squash is tender.
Heat the remaining olive oil with the butter until the butter has melted and is foaming slightly. Throw in the sage leaves and cook for a couple of mins until crisp, then add the onion, garlic, chilli flakes and lemon zest. Cook, stirring, for about 8 mins, until the onion is soft and fragrant, add a drizzle more oil if needed. Mix in the breadcrumbs, toasting in the fat for a few mins.
Whisk the milk, eggs and cream together before adding the cheese. Remove the squash from the oven and turn the oven down to 170C/150C fan/gas 3. Combine the crumb mix with milk, eggs and cream. Pour over the squash. Scatter over the pumpkin seeds, then roast for another 15 mins. Remove from the oven and allow to settle for a couple of mins before serving.","Squash, sage & sourdough bake","['1 butternut squash, peeled, cut in half down the middle, seeds removed and sliced into semi circles', '2 tbsp olive oil', 'thyme sprig', '1 tbsp butter', 'bunch of sage, leaves picked', '1 onion, chopped', '1 garlic clove, crushed', 'generous pinch of dried red chilli flakes', '½ lemon, zested', '100g sourdough breadcrumbs', '200ml milk', '2 eggs', '50ml double cream', '25g grated parmesan', '25g grated pecorino (or use all parmesan)', 'handful of pumpkin seeds']",https://www.bbcgoodfood.com/recipes/squash-sage-sourdough-bake,"Butternut squash, sage, sourdough crumbs and parmesan are baked together in a dish that is perfect comfort food for autumn. Scatter with pumpkin seeds",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/09/squash-sage-sourdough-bake.jpg?itok=97ws6XlX,20 mins,5
20 mins,"['soup only', 'Healthy', 'Vegetarian']", Easy ,"Heat the oil in a medium pan, add the onion (reserving 1 tbsp to make the guacamole later) and pepper and fry, stirring frequently, for 10 mins. Stir in the garlic and spices, then tip in the tomatoes and beans with their liquid, half a can of water and the bouillon powder. Simmer, covered, for 15 mins.
Meanwhile, peel and de-stone the avocado and tip into a bowl, add the remaining onion, coriander and lime juice with a little chilli (if using) and mash well. Ladle the soup into two bowls, top with the guacamole and serve.",Mexican bean soup with guacamole,"['2 tsp rapeseed oil', '1 large onion, finely chopped', '1 red pepper, cut into chunks', '2 garlic cloves, chopped', '2 tsp mild chilli powder', '1 tsp ground coriander', '1 tsp ground cumin', '400g can chopped tomatoes', '400g can black beans', '1 tsp vegetable bouillon powder', '1 small avocado', 'handful chopped coriander', '1 lime, juiced', '½ red chilli, deseeded and finely chopped (optional)']",https://www.bbcgoodfood.com/recipes/mexican-bean-soup-guacamole,"This warming, spiced vegetarian soup packs in goodness and is filling too. The quick-to-assemble guacamole topping tastes as good as it looks",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/12/wdp-lunch-mexicanguacamolesoup_02051.jpg?itok=FT8ioSx_,10 mins,5
